entry_time,entry_price,entry_deal,entry_order,exit_time,exit_price,exit_deal,profit,deal_profit,swap,commission,outcome,required_state_timestamp,state_timestamp,state_at_entry,p_S0,p_S1,p_S2,max_posterior,posterior_entropy,posterior_margin,state_age,bars_since_transition,continuity_segment_id,state_match_status
2016-01-05 02:31:28+00:00,1.0821,2,2,2016-01-05 05:17:45+00:00,1.08262,3,0.48,0.48,0.0,0.0,WIN,2016-01-05 02:30:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-05 08:50:15+00:00,1.07937,4,4,2016-01-05 11:46:22+00:00,1.07546,5,-3.64,-3.64,0.0,0.0,LOSS,2016-01-05 08:45:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-05 15:40:38+00:00,1.07162,6,6,2016-01-05 15:59:29+00:00,1.07215,7,0.49,0.49,0.0,0.0,WIN,2016-01-05 15:30:00+00:00,2016-01-05 15:30:00+00:00,S2,1.162186233050885e-05,2.8757321474902217e-28,0.9999883781376696,0.9999883781376696,0.00014367662978563594,0.9999767562753391,27.0,,0.0,MATCHED
2016-01-05 17:03:52+00:00,1.07415,8,8,2016-01-05 17:57:52+00:00,1.0747,9,0.51,0.51,0.0,0.0,WIN,2016-01-05 17:00:00+00:00,2016-01-05 17:00:00+00:00,S2,3.2893930345199125e-05,3.279042726362671e-05,0.9999343156423912,0.9999343156423912,0.0007437940881957995,0.999901421712046,33.0,,0.0,MATCHED
2016-01-06 07:04:08+00:00,1.07363,10,13,2016-01-06 08:22:40+00:00,1.07422,11,0.55,0.55,0.0,0.0,WIN,2016-01-06 07:00:00+00:00,2016-01-06 07:00:00+00:00,S2,2.7894693231157046e-06,0.00012198652573592643,0.9998752240049407,0.9998752240049407,0.001259738343111037,0.9997532374792047,15.0,14.0,0.0,MATCHED
2016-01-06 13:15:00+00:00,1.07195,12,15,2016-01-06 13:15:11+00:00,1.07285,13,0.84,0.84,0.0,0.0,WIN,2016-01-06 13:15:00+00:00,2016-01-06 13:15:00+00:00,S1,9.076289293875756e-05,0.9190293154100366,0.08087992169702506,0.9190293154100366,0.2818410609440273,0.8381493937130116,8.0,7.0,0.0,MATCHED
2016-01-07 17:00:35+00:00,1.08573,14,26,2016-01-07 17:03:20+00:00,1.08623,15,0.46,0.46,0.0,0.0,WIN,2016-01-07 17:00:00+00:00,2016-01-07 17:00:00+00:00,S1,0.0016585688519417344,0.9773507913966843,0.020990639751373587,0.9773507913966843,0.11410966998240882,0.9563601516453107,3.0,2.0,0.0,MATCHED
2016-01-08 00:50:19+00:00,1.09118,16,28,2016-01-08 00:58:19+00:00,1.09173,17,0.5,0.5,0.0,0.0,WIN,2016-01-08 00:45:00+00:00,2016-01-08 00:45:00+00:00,S1,0.07483132908535228,0.9162999551536146,0.008868715761031334,0.9162999551536146,0.31600345466307156,0.8414686260682623,24.0,23.0,0.0,MATCHED
2016-01-08 06:42:54+00:00,1.08632,18,31,2016-01-08 07:50:29+00:00,1.08687,19,0.51,0.51,0.0,0.0,WIN,2016-01-08 06:30:00+00:00,2016-01-08 06:30:00+00:00,S2,5.308554213301069e-06,0.0012724789680973816,0.9987222124776887,0.9987222124776887,0.009824797461969102,0.9974497335095913,19.0,18.0,0.0,MATCHED
2016-01-08 10:19:56+00:00,1.08615,20,33,2016-01-08 10:22:27+00:00,1.08667,21,0.48,0.48,0.0,0.0,WIN,2016-01-08 10:15:00+00:00,2016-01-08 10:15:00+00:00,S2,0.00023899724330470162,0.027110091315250908,0.972650911441445,0.972650911441445,0.1267737799847607,0.9455408201261941,1.0,0.0,0.0,MATCHED
