entry_time,required_state_timestamp,weekday,hour_utc,missing_features,number_missing_features,continuity_segment_id,bars_since_segment_start,segment_start_utc,completed_m15_bars,completed_h1_bars,completed_h3_bars,warmup_shortfall_features,preceding_gap_classification,diagnostic_reason,cause_explained,previous_available_feature_timestamp,next_available_feature_timestamp,previous_complete_vector_timestamp,next_complete_vector_timestamp
2016-01-04T14:26:05+00:00,2016-01-04T14:15:00+00:00,Monday,14,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",2.0,0,152.0,2016-01-03T00:00:00+00:00,153.0,38.0,12.0,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",,INITIAL_SEGMENT_WARMUP,True,2016-01-04T14:00:00+00:00,2016-01-04T14:30:00+00:00,,2016-01-05T09:00:00+00:00
2016-01-05T02:01:40+00:00,2016-01-05T02:00:00+00:00,Tuesday,2,"[""h3_atr_change_4""]",1.0,0,199.0,2016-01-03T00:00:00+00:00,200.0,50.0,16.0,"[""h3_atr_change_4""]",,INITIAL_SEGMENT_WARMUP,True,2016-01-05T01:45:00+00:00,2016-01-05T02:15:00+00:00,,2016-01-05T09:00:00+00:00
2016-01-11T08:15:38+00:00,2016-01-11T08:15:00+00:00,Monday,8,"[""h1_er_8"", ""h1_atr_change_4"", ""h1_slope_atr_8"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",6.0,1,32.0,2016-01-11T00:00:00+00:00,33.0,8.0,2.0,"[""h1_er_8"", ""h1_atr_change_4"", ""h1_slope_atr_8"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-11T08:00:00+00:00,2016-01-11T08:30:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
2016-01-11T16:22:26+00:00,2016-01-11T16:15:00+00:00,Monday,16,"[""h1_atr_change_4"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",4.0,1,64.0,2016-01-11T00:00:00+00:00,65.0,16.0,5.0,"[""h1_atr_change_4"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-11T16:00:00+00:00,2016-01-11T16:30:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
2016-01-11T17:00:02+00:00,2016-01-11T17:00:00+00:00,Monday,17,"[""h1_atr_change_4"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",4.0,1,67.0,2016-01-11T00:00:00+00:00,68.0,17.0,5.0,"[""h1_atr_change_4"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-11T16:45:00+00:00,2016-01-11T17:15:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
2016-01-11T21:41:03+00:00,2016-01-11T21:30:00+00:00,Monday,21,"[""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",3.0,1,85.0,2016-01-11T00:00:00+00:00,86.0,21.0,7.0,"[""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-11T21:15:00+00:00,2016-01-11T21:45:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
2016-01-12T03:04:31+00:00,2016-01-12T03:00:00+00:00,Tuesday,3,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",2.0,1,107.0,2016-01-11T00:00:00+00:00,108.0,27.0,9.0,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-12T02:45:00+00:00,2016-01-12T03:15:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
2016-01-12T10:32:39+00:00,2016-01-12T10:30:00+00:00,Tuesday,10,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",2.0,1,137.0,2016-01-11T00:00:00+00:00,138.0,34.0,11.0,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-12T10:15:00+00:00,2016-01-12T10:45:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
2016-01-12T11:15:38+00:00,2016-01-12T11:15:00+00:00,Tuesday,11,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",2.0,1,140.0,2016-01-11T00:00:00+00:00,141.0,35.0,11.0,"[""h3_atr_change_4"", ""h3_slope_atr_8""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-12T11:00:00+00:00,2016-01-12T11:30:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
2016-01-13T02:23:05+00:00,2016-01-13T02:15:00+00:00,Wednesday,2,"[""h3_atr_change_4""]",1.0,1,200.0,2016-01-11T00:00:00+00:00,201.0,50.0,16.0,"[""h3_atr_change_4""]",EXPECTED_MARKET_GAP,WEEKLY_SEGMENT_WARMUP,True,2016-01-13T02:00:00+00:00,2016-01-13T02:30:00+00:00,2016-01-08T22:00:00+00:00,2016-01-13T09:00:00+00:00
