period_type,period,state,N,wins,losses,win_rate,net_profit_eur,expectancy_eur_per_trade,yearly_matched_trade_share_percent,s1_total_trade_share_percent,s1_total_net_profit_share_percent
YEAR,2016,S0,28,25,3,0.8928571428571429,-1.27,-0.04535714285714286,7.310704960835509,,
YEAR,2016,S1,106,105,1,0.9905660377358491,37.37,0.3525471698113208,27.676240208877285,13.350125944584383,14.380267056605225
YEAR,2016,S2,249,209,40,0.8393574297188755,-69.8,-0.28032128514056226,65.0130548302872,,
YEAR,2017,S0,12,7,5,0.5833333333333334,-15.83,-1.3191666666666666,3.7854889589905363,,
YEAR,2017,S1,125,122,3,0.976,35.19,0.28152,39.43217665615142,15.743073047858942,13.541386077654211
YEAR,2017,S2,180,144,36,0.8,-81.83,-0.45461111111111113,56.782334384858046,,
YEAR,2018,S0,12,8,4,0.6666666666666666,-11.19,-0.9325,3.037974683544304,,
YEAR,2018,S1,140,139,1,0.9928571428571429,46.64,0.33314285714285713,35.44303797468354,17.632241813602015,17.947435256089584
YEAR,2018,S2,243,195,48,0.8024691358024691,-99.12,-0.4079012345679012,61.51898734177215,,
YEAR,2019,S0,11,10,1,0.9090909090909091,-0.39,-0.035454545454545454,4.135338345864661,,
YEAR,2019,S1,90,88,2,0.9777777777777777,24.3,0.27,33.83458646616541,11.335012594458439,9.350829260784238
YEAR,2019,S2,165,143,22,0.8666666666666667,-30.83,-0.18684848484848485,62.03007518796993,,
YEAR,2020,S0,18,18,0,1.0,6.8,0.37777777777777777,5.056179775280899,,
YEAR,2020,S1,122,121,1,0.9918032786885246,41.79,0.3425409836065574,34.26966292134831,15.365239294710328,16.08111748181783
YEAR,2020,S2,216,186,30,0.8611111111111112,-41.74,-0.19324074074074074,60.674157303370784,,
YEAR,2021,S0,9,5,4,0.5555555555555556,-11.82,-1.3133333333333332,2.830188679245283,,
YEAR,2021,S1,107,106,1,0.9906542056074766,33.08,0.3091588785046729,33.64779874213836,13.476070528967254,12.729441643898873
YEAR,2021,S2,202,167,35,0.8267326732673267,-66.94,-0.3313861386138614,63.522012578616355,,
YEAR,2022,S0,24,16,8,0.6666666666666666,-24.78,-1.0325,6.876790830945558,,
YEAR,2022,S1,104,104,0,1.0,41.5,0.39903846153846156,29.799426934097422,13.09823677581864,15.969523223150036
YEAR,2022,S2,221,178,43,0.8054298642533937,-99.27,-0.44918552036199094,63.32378223495702,,
MONTH,2016-01,S1,12,12,0,1.0,4.8,0.4,,,
MONTH,2016-02,S1,6,6,0,1.0,2.27,0.37833333333333335,,,
MONTH,2016-03,S1,5,5,0,1.0,1.81,0.362,,,
MONTH,2016-04,S1,11,11,0,1.0,4.08,0.3709090909090909,,,
MONTH,2016-05,S1,5,4,1,0.8,-2.05,-0.41,,,
MONTH,2016-06,S1,14,14,0,1.0,5.3,0.37857142857142856,,,
MONTH,2016-07,S1,6,6,0,1.0,2.36,0.3933333333333333,,,
MONTH,2016-08,S1,9,9,0,1.0,3.29,0.3655555555555556,,,
MONTH,2016-09,S1,7,7,0,1.0,2.61,0.37285714285714283,,,
MONTH,2016-10,S1,6,6,0,1.0,2.24,0.37333333333333335,,,
MONTH,2016-11,S1,16,16,0,1.0,6.99,0.436875,,,
MONTH,2016-12,S1,9,9,0,1.0,3.67,0.4077777777777778,,,
MONTH,2017-01,S1,11,11,0,1.0,4.76,0.43272727272727274,,,
MONTH,2017-02,S1,12,12,0,1.0,4.97,0.4141666666666667,,,
MONTH,2017-03,S1,13,13,0,1.0,5.24,0.40307692307692305,,,
MONTH,2017-04,S1,1,1,0,1.0,0.39,0.39,,,
MONTH,2017-05,S1,9,9,0,1.0,3.57,0.39666666666666667,,,
MONTH,2017-06,S1,7,6,1,0.8571428571428571,-1.35,-0.19285714285714287,,,
MONTH,2017-07,S1,3,3,0,1.0,1.2,0.4,,,
MONTH,2017-08,S1,13,12,1,0.9230769230769231,0.8,0.06153846153846154,,,
MONTH,2017-09,S1,15,14,1,0.9333333333333333,1.39,0.09266666666666666,,,
MONTH,2017-10,S1,13,13,0,1.0,4.73,0.3638461538461538,,,
MONTH,2017-11,S1,15,15,0,1.0,5.09,0.3393333333333333,,,
MONTH,2017-12,S1,13,13,0,1.0,4.4,0.3384615384615385,,,
MONTH,2018-01,S1,10,10,0,1.0,3.54,0.354,,,
MONTH,2018-02,S1,11,11,0,1.0,3.75,0.3409090909090909,,,
