period,state,variable,WIN_N,WIN_total,WIN_missing,WIN_mean,WIN_median,WIN_q25,WIN_q75,WIN_IQR,LOSS_N,LOSS_total,LOSS_missing,LOSS_mean,LOSS_median,LOSS_q25,LOSS_q75,LOSS_IQR,mean_difference,median_difference,cliffs_delta,hedges_g
ALL,S0,state_age,89,89,0,8.348314606741573,4.0,1.0,12.0,11.0,25,25,0,7.6,4.0,2.0,9.0,7.0,-0.7483146067415731,0.0,0.017977528089887642,-0.06802479045213652
ALL,S0,bars_since_transition,84,89,5,7.583333333333333,3.0,0.0,11.0,11.0,24,25,1,6.875,4.0,1.0,8.5,7.5,-0.708333333333333,1.0,0.04513888888888889,-0.06294146959718316
ALL,S0,max_posterior,89,89,0,0.9489194097462884,0.9999403084306464,0.9710400175947564,0.9999999973107344,0.028959979715977968,25,25,0,0.9589183167977156,0.9999995654239434,0.9817403667306142,0.9999999998117914,0.018259633081177284,0.009998907051427142,5.925699329700773e-05,0.09123595505617978,0.08568825825798287
ALL,S0,posterior_margin,89,89,0,0.9049672926293486,0.9998806168612944,0.94208003564702,0.9999999946254275,0.057919958978407515,25,25,0,0.9178366376112074,0.9999991308478856,0.96348073346123,0.9999999996235828,0.03651926616235279,0.012869344981858766,0.0001185139865912399,0.09123595505617978,0.060974930778393235
ALL,S0,posterior_entropy,89,89,0,0.12179387206914773,0.0006402690785334,5.578898619258025e-08,0.1311081764285002,0.13110812063951402,25,25,0,0.10447705971079976,6.800634941742683e-06,4.4028544063581566e-09,0.0911863551115264,0.091186350708672,-0.017316812358347963,-0.0006334684435916573,-0.09842696629213483,-0.07404380546051574
ALL,S1,state_age,785,785,0,8.044585987261147,5.0,2.0,8.0,6.0,9,9,0,8.555555555555555,4.0,1.0,5.0,4.0,0.5109695682944082,-1.0,-0.11705590941259732,0.0467169748755188
ALL,S1,bars_since_transition,750,785,35,6.948,3.5,1.0,7.0,6.0,9,9,0,7.555555555555555,3.0,0.0,4.0,4.0,0.607555555555555,-0.5,-0.10874074074074074,0.05585671191394044
ALL,S1,max_posterior,785,785,0,0.9080215099578673,0.9905556471870198,0.8527762786165379,0.999858308408275,0.14708202979173712,9,9,0,0.7857158192537698,0.8033729046418304,0.5401461925515273,0.9983972876535484,0.4582510951020211,-0.12230569070409758,-0.1871827425451894,-0.36503892427459306,-0.8690861813710892
ALL,S1,posterior_margin,785,785,0,0.8169298078511691,0.9816910765507958,0.7055555181071841,0.9997181475801354,0.29416262947295135,9,9,0,0.6028517305785371,0.606748396176267,0.1563654200685497,0.9968138253368328,0.8404484052682831,-0.21407807727263195,-0.3749426803745288,-0.35173389950460016,-0.7647111175651733
ALL,S1,posterior_entropy,785,785,0,0.2050476070285966,0.0540813338543213,0.0014095624971583,0.4234833869099506,0.4220738244127923,9,9,0,0.3961530158188683,0.4957225420066068,0.0120208331616421,0.6904243165957573,0.6784034834341152,0.1911054087902717,0.4416412081522855,0.36362349610757255,0.7539016692641228
ALL,S2,state_age,1222,1222,0,11.511456628477905,9.0,3.25,14.0,10.75,254,254,0,10.948818897637794,10.0,6.0,13.0,7.0,-0.5626377308401107,1.0,0.08008363725401756,-0.05089738525688036
ALL,S2,bars_since_transition,1154,1222,68,10.231369150779896,7.0,2.0,13.0,11.0,239,254,15,10.02510460251046,9.0,5.0,12.0,7.0,-0.20626454826943608,2.0,0.10714777778583497,-0.01911238467953611
ALL,S2,max_posterior,1222,1222,0,0.9417847636393628,0.9995282556254745,0.9639383651708198,0.9999794323749971,0.036041067204177324,254,254,0,0.983648514305338,0.9999542529184285,0.999291475068083,0.9999925736902572,0.0007010986221741566,0.04186375066597514,0.0004259972929540057,0.28762709898578553,0.378885232216355
ALL,S2,posterior_margin,1222,1222,0,0.8840058689035222,0.999074007267183,0.9285633898224409,0.9999615029873863,0.07139811316494538,254,254,0,0.9673157301327431,0.9999212337092986,0.998618704122177,0.9999851473805145,0.0013664432583374575,0.0833098612292209,0.0008472264421156561,0.28540407489980285,0.37795372079209544
ALL,S2,posterior_entropy,1222,1222,0,0.1320876497174508,0.0041002169400301495,0.000247773791803525,0.1577975701197783,0.15754979632797478,254,254,0,0.03988609738564855,0.00051336981498345,9.513238679829413e-05,0.0058488876990096745,0.00575375531221138,-0.09220155233180224,-0.0035868471250466993,-0.28889647795662204,-0.44335349982985484
2016,S0,state_age,25,25,0,9.64,4.0,2.0,12.0,10.0,3,3,0,20.666666666666668,8.0,4.5,30.5,26.0,11.026666666666667,4.0,0.13333333333333333,0.7325753137631943
2016,S0,bars_since_transition,25,25,0,8.64,3.0,1.0,11.0,10.0,3,3,0,19.666666666666668,7.0,3.5,29.5,26.0,11.026666666666667,4.0,0.13333333333333333,0.7325753137631943
2016,S0,max_posterior,25,25,0,0.9148883733011562,0.9999403084306464,0.9420429231660052,0.9999999974687556,0.05795707430275032,3,3,0,0.9386719318300969,0.999999999999865,0.9080078977451453,0.9999999999999325,0.09199210225478716,0.02378355852894065,5.9691569218589535e-05,0.24,0.13851422306500394
