entry_time,entry_price,entry_deal,entry_order,exit_time,exit_price,exit_deal,profit,commission,swap,outcome,required_state_timestamp,state_timestamp,continuity_segment_id,state_at_entry,p_S0,p_S1,p_S2,max_posterior,posterior_entropy,posterior_margin,state_age,bars_since_transition,state_match_status,state_diagnostic_reason,missing_features
2025-01-03 05:17:35+00:00,1.02653,2,3,2025-01-03 05:26:16+00:00,1.02703,3,0.49,0.0,0.0,WIN,2025-01-03 05:15:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-01-06 05:58:10+00:00,1.03095,4,11,2025-01-06 06:41:51+00:00,1.03146,5,0.49,0.0,0.0,WIN,2025-01-06 05:45:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-06 23:01:43+00:00,1.03876,6,18,2025-01-07 03:42:42+00:00,1.03926,7,0.4,0.0,-0.08,WIN,2025-01-06 23:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-01-07 12:37:37+00:00,1.04016,8,22,2025-01-07 17:10:52+00:00,1.03616,9,-3.86,0.0,0.0,LOSS,2025-01-07 12:30:00+00:00,2025-01-07 12:30:00+00:00,1.0,S1,3.375232376166156e-05,0.8773430103752793,0.12262323730095982,0.8773430103752793,0.37249609465347727,0.7547197730743195,15.0,,MATCHED,MATCHED,[]
2025-01-07 21:09:23+00:00,1.03418,10,24,2025-01-08 00:22:44+00:00,1.03471,11,0.43,0.0,-0.08,WIN,2025-01-07 21:00:00+00:00,2025-01-07 21:00:00+00:00,1.0,S2,5.228023199760931e-06,1.0380363308829655e-16,0.9999947719768005,0.9999947719768005,6.880849513360009e-05,0.9999895439536007,23.0,22.0,MATCHED,MATCHED,[]
2025-01-08 10:08:07+00:00,1.03136,12,26,2025-01-08 10:55:08+00:00,1.03186,13,0.48,0.0,0.0,WIN,2025-01-08 10:00:00+00:00,2025-01-08 10:00:00+00:00,1.0,S2,3.4506066616285395e-06,8.565806200502654e-31,0.9999965493933399,0.9999965493933399,4.6848744385641075e-05,0.9999930987866783,5.0,4.0,MATCHED,MATCHED,[]
2025-01-08 11:21:35+00:00,1.03058,14,28,2025-01-08 16:41:22+00:00,1.03113,15,0.53,0.0,0.0,WIN,2025-01-08 11:15:00+00:00,2025-01-08 11:15:00+00:00,1.0,S2,2.1628337850800924e-06,5.984895690726747e-23,0.9999978371662154,0.9999978371662154,3.0375032715399406e-05,0.9999956743324303,10.0,9.0,MATCHED,MATCHED,[]
2025-01-09 04:00:21+00:00,1.03108,16,33,2025-01-09 09:18:23+00:00,1.03158,17,0.48,0.0,0.0,WIN,2025-01-09 04:00:00+00:00,2025-01-09 04:00:00+00:00,1.0,S2,0.0002612678682354352,0.0399891949058322,0.9597495372259327,0.9597495372259327,0.17031582742280016,0.9197603423201005,1.0,0.0,MATCHED,MATCHED,[]
2025-01-09 15:43:30+00:00,1.02982,18,36,2025-01-09 20:43:59+00:00,1.03034,19,0.5,0.0,0.0,WIN,2025-01-09 15:30:00+00:00,2025-01-09 15:30:00+00:00,1.0,S2,2.8567676583503516e-06,0.33535844078850374,0.6646387024438378,0.6646387024438378,0.6379468064648535,0.3292802616553341,2.0,1.0,MATCHED,MATCHED,[]
2025-01-10 00:19:53+00:00,1.02952,20,38,2025-01-10 01:20:22+00:00,1.03005,21,0.51,0.0,0.0,WIN,2025-01-10 00:15:00+00:00,2025-01-10 00:15:00+00:00,1.0,S1,3.5261526815257974e-06,0.631056555140432,0.36893991870688714,0.631056555140432,0.6584352509278288,0.2621166364335449,1.0,0.0,MATCHED,MATCHED,[]
2025-01-10 02:10:26+00:00,1.02996,22,40,2025-01-10 08:27:10+00:00,1.03046,23,0.49,0.0,0.0,WIN,2025-01-10 02:00:00+00:00,2025-01-10 02:00:00+00:00,1.0,S1,1.0050760464397344e-05,0.9182016357156573,0.08178831352387864,0.9182016357156573,0.2832403300492505,0.8364133221917787,4.0,3.0,MATCHED,MATCHED,[]
2025-01-10 13:30:01+00:00,1.02777,24,42,2025-01-10 13:30:15+00:00,1.02513,25,-2.58,0.0,0.0,LOSS,2025-01-10 13:30:00+00:00,2025-01-10 13:30:00+00:00,1.0,S1,2.915093044848442e-05,0.9783410323579201,0.02162981671163079,0.9783410323579201,0.1046489741542844,0.9567112156462894,3.0,2.0,MATCHED,MATCHED,[]
2025-01-13 03:10:09+00:00,1.02371,26,47,2025-01-13 09:24:42+00:00,1.01971,27,-3.92,0.0,0.0,LOSS,2025-01-13 03:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-13 11:20:02+00:00,1.01886,28,49,2025-01-13 11:32:14+00:00,1.01938,29,0.51,0.0,0.0,WIN,2025-01-13 11:15:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-13 16:01:42+00:00,1.01953,30,51,2025-01-13 16:13:52+00:00,1.02004,31,0.5,0.0,0.0,WIN,2025-01-13 16:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-13 17:00:07+00:00,1.02076,32,53,2025-01-13 17:09:08+00:00,1.02128,33,0.51,0.0,0.0,WIN,2025-01-13 17:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-14 02:42:42+00:00,1.02397,34,57,2025-01-14 02:51:07+00:00,1.02451,35,0.53,0.0,0.0,WIN,2025-01-14 02:30:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-01-14 05:08:03+00:00,1.02478,36,59,2025-01-14 06:59:26+00:00,1.02532,37,0.53,0.0,0.0,WIN,2025-01-14 05:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-01-14 12:07:41+00:00,1.02488,38,62,2025-01-14 12:27:34+00:00,1.02539,39,0.5,0.0,0.0,WIN,2025-01-14 12:00:00+00:00,2025-01-14 12:00:00+00:00,2.0,S1,9.155588809039403e-06,0.5194341887489033,0.48055665566228783,0.5194341887489033,0.6925002765536702,0.03887753308661551,13.0,,MATCHED,MATCHED,[]
2025-01-14 14:03:52+00:00,1.02464,40,64,2025-01-14 14:13:14+00:00,1.02514,41,0.49,0.0,0.0,WIN,2025-01-14 14:00:00+00:00,2025-01-14 14:00:00+00:00,2.0,S1,1.3549233717785433e-05,0.5170544007974601,0.4829320499688224,0.5170544007974601,0.6927209255646987,0.03412235082863774,1.0,0.0,MATCHED,MATCHED,[]
2025-01-15 05:56:49+00:00,1.02977,42,70,2025-01-15 07:38:17+00:00,1.03029,43,0.5,0.0,0.0,WIN,2025-01-15 05:45:00+00:00,2025-01-15 05:45:00+00:00,2.0,S1,2.0150106230946448e-07,0.9837800606122349,0.01621973788670223,0.9837800606122349,0.08294086351935215,0.9675603227255326,6.0,5.0,MATCHED,MATCHED,[]
2025-01-15 08:34:11+00:00,1.02985,44,72,2025-01-15 09:06:40+00:00,1.03036,45,0.49,0.0,0.0,WIN,2025-01-15 08:30:00+00:00,2025-01-15 08:30:00+00:00,2.0,S1,0.00036376064620277486,0.8931161902447974,0.10652004910900086,0.8931161902447974,0.34238057201336436,0.7865961411357966,4.0,3.0,MATCHED,MATCHED,[]
2025-01-15 11:33:41+00:00,1.03041,46,74,2025-01-15 13:30:01+00:00,1.03107,47,0.64,0.0,0.0,WIN,2025-01-15 11:30:00+00:00,2025-01-15 11:30:00+00:00,2.0,S1,9.41186919938626e-06,0.9984223486657243,0.00156823946507599,0.9984223486657243,0.011812714225560655,0.9968541092006483,10.0,9.0,MATCHED,MATCHED,[]
2025-01-15 16:33:32+00:00,1.02703,48,76,2025-01-15 16:38:36+00:00,1.02757,49,0.53,0.0,0.0,WIN,2025-01-15 16:30:00+00:00,2025-01-15 16:30:00+00:00,2.0,S2,0.0044865686654704745,0.0380392059360864,0.9574742253984416,0.9574742253984416,0.19022125014414382,0.9194350194623552,2.0,1.0,MATCHED,MATCHED,[]
2025-01-15 23:14:57+00:00,1.02911,50,80,2025-01-16 00:30:00+00:00,1.02963,51,0.27,0.0,-0.24,WIN,2025-01-15 23:00:00+00:00,2025-01-15 23:00:00+00:00,2.0,S2,4.182712095832368e-06,0.20218331601135386,0.7978125012765509,0.7978125012765509,0.5034693250990635,0.595629185265197,5.0,4.0,MATCHED,MATCHED,[]
2025-01-16 02:18:58+00:00,1.02867,52,82,2025-01-16 02:42:51+00:00,1.02917,53,0.49,0.0,0.0,WIN,2025-01-16 02:15:00+00:00,2025-01-16 02:15:00+00:00,2.0,S2,7.51732157150862e-05,0.31419247038296994,0.6857323564013154,0.6857323564013154,0.623174795826453,0.3715398860183454,2.0,1.0,MATCHED,MATCHED,[]
2025-01-16 05:16:28+00:00,1.02843,54,84,2025-01-16 06:58:12+00:00,1.02893,55,0.49,0.0,0.0,WIN,2025-01-16 05:15:00+00:00,2025-01-16 05:15:00+00:00,2.0,S2,6.669080842491622e-06,0.00040317508369975,0.9995901558354585,0.9995901558354585,0.003640515215939953,0.9991869807517587,4.0,3.0,MATCHED,MATCHED,[]
2025-01-16 12:28:30+00:00,1.02734,56,87,2025-01-16 13:30:03+00:00,1.02785,57,0.5,0.0,0.0,WIN,2025-01-16 12:15:00+00:00,2025-01-16 12:15:00+00:00,2.0,S2,7.10216448418195e-06,0.0010000655266444501,0.998992832308872,0.998992832308872,0.0079989996676425,0.9979927667822276,7.0,6.0,MATCHED,MATCHED,[]
2025-01-16 14:02:14+00:00,1.02774,58,89,2025-01-16 14:48:25+00:00,1.02824,59,0.49,0.0,0.0,WIN,2025-01-16 14:00:00+00:00,2025-01-16 14:00:00+00:00,2.0,S2,0.00026845550875643815,0.3460682027855097,0.6536633417057347,0.6536633417057347,0.6473405033415769,0.307595138920225,14.0,13.0,MATCHED,MATCHED,[]
2025-01-16 20:00:19+00:00,1.03014,60,92,2025-01-17 00:54:59+00:00,1.03065,61,0.41,0.0,-0.08,WIN,2025-01-16 20:00:00+00:00,2025-01-16 20:00:00+00:00,2.0,S1,5.9085875346299405e-06,0.9150757895223258,0.08491830189013914,0.9150757895223258,0.29069674086168407,0.8301574876321867,19.0,18.0,MATCHED,MATCHED,[]
2025-01-17 04:35:02+00:00,1.02975,62,94,2025-01-17 09:03:49+00:00,1.03025,63,0.49,0.0,0.0,WIN,2025-01-17 04:30:00+00:00,2025-01-17 04:30:00+00:00,2.0,S2,2.0570250354715828e-05,0.01008666791753981,0.9898927618321047,0.9898927618321047,0.056641754285427406,0.979806093914565,3.0,2.0,MATCHED,MATCHED,[]
2025-01-17 14:14:02+00:00,1.02764,64,96,2025-01-17 14:30:05+00:00,1.02815,65,0.5,0.0,0.0,WIN,2025-01-17 14:00:00+00:00,2025-01-17 14:00:00+00:00,2.0,S2,2.08423150380101e-06,0.022458379420094383,0.9775395363484026,0.9775395363484026,0.10748764446811113,0.9550811569283082,6.0,5.0,MATCHED,MATCHED,[]
